file,test_id,temp_oc,stress_mpa,LMP,mean,lower,upper
in792sx,A0409,800 ,477.530 ,24.623 ,100.000 ,44.535 ,100.000 
in792sx,A0410,900 ,263.380 ,26.666 ,100.000 ,47.714 ,100.000 
in792sx,A0411,950 ,185.120 ,27.574 ,100.000 ,49.179 ,100.000 
in792sx,A0412,1000 ,125.280 ,28.988 ,100.000 ,50.569 ,100.000 
in792sx,A-C5,800 ,357.200 ,25.526 ,100.000 ,44.535 ,100.000 
in792sx,A-C6,900 ,184.000 ,27.778 ,100.000 ,47.714 ,100.000 
in792sx,A-C7,950 ,124.200 ,29.025 ,100.000 ,49.179 ,100.000 
in792sx,A-C12,1000 ,90.000 ,30.016 ,100.000 ,50.569 ,100.000 
in792sx,A-C9,800 ,329.000 ,25.857 ,100.000 ,44.535 ,100.000 
in792sx,A-C10,900 ,164.500 ,28.142 ,100.000 ,47.714 ,100.000 
in792sx,A-C11,950 ,108.800 ,29.468 ,100.000 ,49.179 ,100.000 
in792sx,A-C8,1000 ,79.700 ,30.389 ,100.000 ,50.569 ,100.000 
in792sx,A-C1,800 ,302.300 ,26.049 ,100.000 ,44.535 ,100.000 
in792sx,A-C2,900 ,146.400 ,28.456 ,100.000 ,47.714 ,100.000 
in792sx,A-C3,950 ,94.900 ,29.799 ,100.000 ,49.179 ,100.000 
in792sx,A-C4,1000 ,58.300 ,31.076 ,100.000 ,50.569 ,100.000 
in792sx_interrupt,7_1,900 ,181.500 ,27.750 ,21.674 ,10.340 ,45.429 
in792sx_interrupt,7_2,900 ,202.100 ,27.410 ,42.226 ,20.146 ,88.507 
in792sx_interrupt,7_3,900 ,208.600 ,27.310 ,51.437 ,24.540 ,100.000 
in792sx_interrupt,7_4,900 ,192.900 ,27.550 ,31.589 ,15.071 ,66.212 
in792sx_interrupt,7_5,900 ,161.700 ,28.110 ,10.541 ,5.029 ,22.095 
in792sx_interrupt,9_1,900 ,79.900 ,30.340 ,0.132 ,0.063 ,0.277 
in792sx_interrupt,9_2,900 ,124.900 ,28.930 ,2.118 ,1.011 ,4.440 
in792sx_interrupt,9_3,900 ,222.000 ,27.110 ,75.691 ,36.112 ,100.000 
in792sx_interrupt,9_4,900 ,163.100 ,28.090 ,11.139 ,5.315 ,23.349 
in792sx_interrupt,9_5,900 ,98.700 ,29.680 ,0.490 ,0.234 ,1.027 
in792sx_interrupt,17_1,1000 ,86.500 ,30.100 ,22.309 ,11.281 ,44.120 
in792sx_interrupt,17_2,1000 ,96.300 ,29.760 ,41.245 ,20.856 ,81.569 
in792sx_interrupt,17_3,1000 ,99.400 ,29.660 ,49.469 ,25.014 ,97.833 
in792sx_interrupt,17_4,1000 ,91.900 ,29.900 ,31.567 ,15.962 ,62.429 
in792sx_interrupt,17_5,1000 ,77.000 ,30.460 ,11.482 ,5.806 ,22.708 
in792sx_interrupt,18_1,1000 ,38.400 ,32.660 ,0.214 ,0.108 ,0.424 
in792sx_interrupt,18_2,1000 ,60.000 ,31.250 ,2.762 ,1.397 ,5.463 
in792sx_interrupt,18_3,1000 ,106.700 ,29.430 ,74.531 ,37.687 ,100.000 
in792sx_interrupt,18_4,1000 ,78.400 ,30.410 ,12.751 ,6.447 ,25.216 
in792sx_interrupt,18_5,1000 ,47.400 ,32.000 ,0.717 ,0.362 ,1.418 
cm939w,G0411,900 ,142.620 ,26.944 ,100.000 ,47.714 ,100.000 
cm939w,G0412,950 ,90.470 ,27.673 ,100.000 ,49.179 ,100.000 
cm939w,G0413,1000 ,54.430 ,28.719 ,100.000 ,50.569 ,100.000 
cm939w,G0415,800 ,331.200 ,24.414 ,100.000 ,44.535 ,100.000 
cm939w,G0410,800 ,302.880 ,24.926 ,100.000 ,44.535 ,100.000 
cm939w,G0416,900 ,123.120 ,27.525 ,100.000 ,47.714 ,100.000 
cm939w,G0417,950 ,76.270 ,27.925 ,100.000 ,49.179 ,100.000 
cm939w,G0418,1000 ,44.790 ,29.076 ,100.000 ,50.569 ,100.000 
cm939w,G-C1,800 ,174.800 ,26.020 ,100.000 ,44.535 ,100.000 
cm939w,G-C2,900 ,68.600 ,28.214 ,100.000 ,47.714 ,100.000 
cm939w,G-C13,950 ,38.700 ,28.881 ,100.000 ,49.179 ,100.000 
cm939w,G-C4,1000 ,20.300 ,30.546 ,100.000 ,50.569 ,100.000 
cm939w,G-C9,800 ,270.000 ,25.079 ,100.000 ,44.535 ,100.000 
cm939w,G-C6,900 ,92.400 ,27.806 ,100.000 ,47.714 ,100.000 
cm939w,G-C7,950 ,55.300 ,28.388 ,100.000 ,49.179 ,100.000 
cm939w,G-C8,1000 ,30.800 ,29.577 ,100.000 ,50.569 ,100.000 
cm939w,G-C5,800 ,216.000 ,25.678 ,100.000 ,44.535 ,100.000 
cm939w,G-C10,900 ,79.800 ,27.954 ,100.000 ,47.714 ,100.000 
cm939w,G-C11,950 ,46.400 ,28.732 ,100.000 ,49.179 ,100.000 
cm939w,G-C12,1000 ,25.100 ,29.889 ,100.000 ,50.569 ,100.000 
